epoch,costo_total,main_loss,preds_loss,vista_0_PPI,vista_1_Co-expression,vista_2_ME,vista_3_ProteinComplex,vista_4_Pathway
10,0.44518954,0.041606184,0.048922412,0.100711495,0.09717906,0.16709676,0.14344832,0.10304144
20,0.3077055,0.023859885,0.03519152,0.0897196,0.06391009,0.08406955,0.095047675,0.094178185
30,0.26534343,0.026516981,0.021603059,0.08309203,0.060635418,0.062200435,0.08483031,0.10048246
40,0.24106245,0.03514399,0.017017784,0.06781381,0.057399407,0.0573023,0.06436118,0.09688909
50,0.23759486,0.028060496,0.020529276,0.06952463,0.05471045,0.06407249,0.05560179,0.09304224
60,0.23045178,0.039685983,0.015179677,0.06101869,0.06831783,0.04857655,0.052313786,0.09058603
70,0.22245428,0.032089107,0.018916925,0.062259365,0.049415395,0.04088455,0.061756648,0.0907467
80,0.21105349,0.033761583,0.016550578,0.058723874,0.046288457,0.037650533,0.054425586,0.091293044
90,0.2132191,0.032187376,0.016688168,0.06323966,0.05273278,0.038197763,0.047411576,0.093729004
100,0.20601225,0.030403392,0.01896253,0.05849485,0.048640847,0.040123634,0.03887312,0.08923515
110,0.20340498,0.03218546,0.019630253,0.057599716,0.04738566,0.03531499,0.034904823,0.088712834
120,0.21184407,0.019022632,0.027244922,0.055487797,0.04989023,0.039459888,0.040994648,0.09083062
130,0.1992069,0.0285921,0.017841868,0.06079115,0.04499487,0.039091203,0.03753944,0.08744548
140,0.20394966,0.027329184,0.017686268,0.06240242,0.046731293,0.036362402,0.042023025,0.09497671
150,0.19562389,0.039761156,0.014009165,0.061444122,0.042632964,0.028908042,0.03221812,0.09048557
160,0.19275218,0.02473016,0.0218182,0.053622223,0.04328067,0.026682794,0.037061624,0.088123955
170,0.19350545,0.029691925,0.019924723,0.053226367,0.039493583,0.03492353,0.030633671,0.08965103
180,0.18820986,0.034048717,0.013243777,0.054850668,0.046031095,0.028075622,0.034041006,0.09234878
190,0.18476385,0.03447089,0.011451881,0.052350484,0.044568397,0.032118972,0.035436958,0.0903036
200,0.19134901,0.028210774,0.024367873,0.0477855,0.038746662,0.024331063,0.030088307,0.087853484
10,0.38747224,0.03771025,0.038553786,0.11716026,0.085985266,0.105531015,0.14020902,0.0964233
20,0.30767247,0.03860869,0.026252247,0.09714082,0.0783581,0.084135704,0.081668384,0.091815524
30,0.25824898,0.040124573,0.017898032,0.07482559,0.06113379,0.06409298,0.06825864,0.09634568
40,0.2471342,0.029742781,0.02365085,0.07626199,0.057280637,0.059974406,0.055249598,0.0914128
50,0.23924837,0.022532612,0.032659207,0.06534044,0.06030875,0.042013526,0.043622978,0.09150899
60,0.22192469,0.032671146,0.019557556,0.06754139,0.05993033,0.040266447,0.03994379,0.09259494
70,0.21274376,0.034680016,0.01722114,0.062375408,0.051099643,0.04050617,0.03984816,0.093413554
80,0.2090467,0.026965244,0.016367745,0.05690611,0.04982111,0.04942957,0.048052233,0.09448293
90,0.2031228,0.036908068,0.014424396,0.06678843,0.047439244,0.033355795,0.03765254,0.08949588
100,0.2069055,0.021896511,0.021747934,0.060298767,0.04823806,0.038574707,0.044077434,0.09183729
110,0.20015965,0.039152075,0.015076797,0.049373567,0.043564808,0.03926805,0.041294575,0.08820695
120,0.19361717,0.028020464,0.020305004,0.055439495,0.044012792,0.031659216,0.031369567,0.08749231
130,0.1894136,0.034695007,0.014124817,0.05540584,0.041860398,0.02513744,0.039143324,0.0913909
140,0.19191164,0.02868003,0.019481225,0.049252328,0.04443279,0.028026566,0.035353106,0.09147352
150,0.18693855,0.029180653,0.015821112,0.062175605,0.038640887,0.028985364,0.03406357,0.08836592
160,0.1941479,0.043974012,0.013251686,0.052531373,0.043470964,0.027024914,0.034755494,0.08955827
170,0.19971094,0.044382326,0.011013581,0.057207048,0.047611803,0.024101235,0.03480859,0.10287419
180,0.17877427,0.032636933,0.013282121,0.05121105,0.03842004,0.028757533,0.032007612,0.08874993
190,0.18162927,0.028922226,0.018193213,0.053350866,0.037743546,0.026055908,0.027711283,0.08777961
