epoch,costo_total,main_loss,preds_loss,vista_0_PPI,vista_1_Co-expression,vista_2_ME,vista_3_ProteinComplex,vista_4_Pathway
10,0.53452003,0.04872026,0.05703031,0.11950667,0.119706914,0.122062296,0.16118716,0.0971022
20,0.37362862,0.048921447,0.030494412,0.08516015,0.0676058,0.086271256,0.10006796,0.100425415
30,0.32710737,0.029680906,0.03599172,0.073047444,0.061779674,0.0661902,0.08051861,0.09420241
40,0.31057766,0.03201275,0.029747406,0.06806393,0.06789546,0.058035247,0.074085385,0.09703675
50,0.28365844,0.042554658,0.022799315,0.071580514,0.05580673,0.044331376,0.062290393,0.0918329
60,0.2826026,0.048743792,0.020455718,0.06360561,0.057949375,0.048069175,0.056778684,0.0951761
70,0.2591314,0.040149085,0.0201637,0.061505124,0.05472796,0.041653413,0.048907284,0.09096438
80,0.27000442,0.041487943,0.020272242,0.062482376,0.053153973,0.044702217,0.057159703,0.09578835
90,0.2600717,0.039391354,0.020284839,0.06363711,0.05600114,0.041428804,0.044432934,0.09468447
100,0.249185,0.04109046,0.021463893,0.05824129,0.047452874,0.032050747,0.045472853,0.09206014
110,0.25152954,0.038540956,0.0213347,0.057786416,0.048160892,0.041249357,0.04200247,0.094666176
120,0.24585903,0.03966201,0.025060032,0.051662073,0.04515227,0.031928763,0.039324142,0.092061006
130,0.23819296,0.039987136,0.016423741,0.057591416,0.048531126,0.04343165,0.035789844,0.09025321
140,0.24835217,0.025086695,0.030624272,0.050401565,0.058102597,0.02815189,0.045534257,0.087837905
150,0.23669551,0.042477954,0.015885679,0.054346755,0.050068993,0.035861723,0.03685981,0.093606375
160,0.242166,0.04264271,0.02098205,0.05128026,0.04783243,0.03125983,0.042621877,0.089604214
170,0.23257777,0.044729475,0.016505323,0.049072444,0.050118826,0.033696037,0.032854013,0.09232142
180,0.22944328,0.048185352,0.015626678,0.050901324,0.042451143,0.031738974,0.03104932,0.09386686
190,0.22916427,0.03765615,0.020385474,0.053412262,0.04654771,0.025146605,0.03325125,0.09287077
200,0.22883323,0.035077117,0.019806314,0.054010212,0.052218467,0.028407719,0.031247739,0.091021664
210,0.22409081,0.046348725,0.016637258,0.048234925,0.044010203,0.02542526,0.032108516,0.091000386
220,0.22490987,0.035013847,0.021947525,0.049630564,0.04767645,0.027480401,0.031620152,0.086927384
230,0.22157225,0.0494556,0.01538827,0.051491544,0.045835804,0.023891052,0.027723642,0.086624764
240,0.22454602,0.0404165,0.018603638,0.053672165,0.041383166,0.02452446,0.030223517,0.09506708
250,0.22322059,0.045972858,0.01661568,0.053648435,0.039825656,0.023666099,0.03250378,0.09038331
260,0.21695963,0.03813716,0.020328768,0.043799877,0.043581896,0.024985226,0.026381522,0.09152634
270,0.21846637,0.03977593,0.02011949,0.04793524,0.042077936,0.023087893,0.027870826,0.089780554
280,0.2192407,0.042731695,0.02078944,0.04903136,0.037117552,0.024598794,0.0301632,0.08397258
290,0.21391703,0.04189064,0.016934624,0.046563223,0.044769805,0.024381505,0.028413026,0.08613432
300,0.21478291,0.041348245,0.0175135,0.050361596,0.044391423,0.021109287,0.027442634,0.087374486
10,0.6660562,0.052823674,0.067369826,0.104467966,0.13175622,0.2735576,0.17053586,0.117170505
20,0.37772003,0.03178719,0.04080965,0.094683245,0.081750825,0.08519234,0.08427594,0.09462018
