,0,1,2
0,H2AC8,NHP2,1.3312299251556396
1,GTF2H1,H2AC8,1.3282721042633057
2,ABCC10,STK17A,1.31487238407135
3,WRAP53,ZBTB32,1.305838942527771
4,CETN2,MT1X,1.3016830682754517
5,CETN2,IGF1,1.2999141216278076
6,SSBP1,ZBTB32,1.2970681190490723
7,IGHMBP2,POLM,1.2819231748580933
8,CYP3A7,LRRC37A3,1.281768798828125
9,IGHMBP2,POLD1,1.2799184322357178
10,CDA,STK17A,1.2750663757324219
11,ITPKC,TYMS,1.2717856168746948
12,BID,ZBTB32,1.2601414918899536
13,IGF1,RAD23B,1.254150629043579
14,POLR2A,ZBTB32,1.2406260967254639
15,IGHMBP2,UNG,1.234527587890625
16,MT1X,WRAP53,1.2204091548919678
17,SESN2,TNFRSF10B,1.218757152557373
18,IGF1,POLM,1.2185726165771484
19,LRRC37A3,ORM1,1.2140800952911377
20,CMPK1,LMTK2,1.2058589458465576
21,BID,IGHMBP2,1.2043886184692383
22,EGFR,H2AC8,1.20340096950531
23,H4C1,XRCC2,1.2018182277679443
24,IGF1,POLD1,1.2015478610992432
25,POLD4,TNFRSF10B,1.1978507041931152
26,DNTT,H4C1,1.1966891288757324
27,IGFBP3,SSBP1,1.1965950727462769
28,MDM2,ZBTB32,1.1918283700942993
29,POLR2A,RBX1,1.1884753704071045
30,CMPK1,PKIA,1.1878069639205933
31,POLD4,POLM,1.186905860900879
32,IGHMBP2,XRCC2,1.183968424797058
33,MAP3K7,SLC28A1,1.181249976158142
34,BID,RAD23B,1.1795709133148193
35,NEK6,SLC28A1,1.1790187358856201
36,CDK4,CETN2,1.178760290145874
37,IGFBP3,POLM,1.1688028573989868
38,POLD1,RAD23B,1.168159008026123
39,PMS2,RBX1,1.166653037071228
40,CDA,PDPK1,1.1616525650024414
41,NHP2,POLD1,1.1612019538879395
42,ABCC10,PRKD3,1.1591804027557373
43,ABCC10,HIPK1,1.1583478450775146
44,MT1X,UNG,1.1563873291015625
45,DNTT,SESN2,1.1563485860824585
46,CDA,TYRO3,1.1558884382247925
47,CDK6,NHP2,1.1512119770050049
48,POLD4,UNG,1.1409275531768799
49,ABCB1,PI4K2A,1.140892505645752
50,GTF2H1,NHP2,1.1402605772018433
51,CKS2,DCK,1.1390576362609863
52,SSBP1,UNG,1.1344759464263916
53,CDK4,SESN2,1.13368558883667
54,CDK4,POLD4,1.133409023284912
55,SESN2,UNG,1.1329253911972046
56,CDK4,IGFBP3,1.1329054832458496
57,RAD23B,UNG,1.1325902938842773
58,FLT1,SLC29A2,1.1321814060211182
59,CAMK1D,CMPK1,1.131371259689331
60,CETN2,RAD51,1.1295708417892456
61,MAP2K7,TYMS,1.1227738857269287
62,MT1X,RAD9A,1.1218584775924683
63,CAMK1D,DCK,1.1167259216308594
64,RBX1,USP1,1.1160426139831543
65,BID,POLM,1.1151067018508911
66,IGF1,MDM2,1.1149685382843018
67,H4C1,RAD51,1.1113322973251343
68,PLK3,TYMS,1.110816478729248
69,CDK4,IGHMBP2,1.1107085943222046
70,IGHMBP2,RRM1,1.108534574508667
71,POLD4,POLE,1.1043118238449097
72,ATM,ZBTB32,1.1027894020080566
73,AKT2,PIM1,1.0998618602752686
74,CDKL5,SLC29A2,1.09734046459198
75,NHP2,RELA,1.096418857574463
76,ERCC1,POLR2A,1.0956610441207886
77,IGFBP3,UNG,1.0954350233078003
78,MDM2,RAD9A,1.0945359468460083
79,ABCC10,UCK1,1.0945332050323486
80,ERCC1,POLM,1.0921024084091187
81,SLC29A2,TNNI3K,1.091861367225647
82,PMS2,RAD9A,1.091307282447815
83,CDA,CDC42BPA,1.090808391571045
84,AURKAIP1,SLC29A2,1.090528964996338
85,BID,DNTT,1.0900893211364746
86,CDK6,DNTT,1.0893001556396484
87,CMPK1,FLT1,1.0888158082962036
88,BID,POLR2A,1.0873253345489502
89,MT1X,USP1,1.087205171585083
90,ABCC10,DGKA,1.0868093967437744
91,ABCB1,TYRO3,1.0867242813110352
92,CDK2,SSBP1,1.0860011577606201
93,HMGA1,HMGCR,1.0859105587005615
94,ERCC1,PMS2,1.0838192701339722
95,POLR2A,RPL13A,1.0835151672363281
96,CDK2,TNFRSF10B,1.0828282833099365
97,CDA,NEK6,1.0807465314865112
98,RELA,TNFRSF10B,1.0782444477081299
99,MT1X,RAD51,1.0769603252410889
100,IGF1,USP1,1.0765042304992676
101,AURKAIP1,DCK,1.0753021240234375
102,CIT,TPSAB1,1.0724120140075684
103,CYP3A5,SPTB,1.071777582168579
104,CDK6,RAD51,1.0696150064468384
105,TAOK3,TYMS,1.0681211948394775
106,IGF1,RAD51,1.06525719165802
107,POLM,RAD51,1.0645081996917725
108,BSG,PIM1,1.0637383460998535
109,ABCC10,RIPK4,1.0630695819854736
110,SLC29A2,UCK1,1.0614694356918335
111,CDK2,POLM,1.061178207397461
112,PMS2,RELA,1.0609582662582397
113,CMPK1,DGKA,1.0608243942260742
114,RIPK2,SLC28A1,1.0607013702392578
115,COL3A1,NTRK1,1.0603514909744263
116,CMPK1,RIPK4,1.0585157871246338
117,UNG,XRCC2,1.0572530031204224
118,ABCC10,CDKL5,1.0569392442703247
119,ASPM,SLC28A1,1.0568491220474243
120,PANK2,SLC29A2,1.055416464805603
121,PRKD2,TYMS,1.0541386604309082
122,PPM1D,RPL13A,1.0540968179702759
123,KIT,LRRC37A3,1.0533230304718018
124,CDA,PANK2,1.0532352924346924
125,NRAS,UNC80,1.0526823997497559
126,CDK2,PMS2,1.0525188446044922
127,PPM1D,TNFRSF10B,1.0514113903045654
128,RELA,WRAP53,1.0510544776916504
129,GTF2H1,PPM1D,1.0509915351867676
130,CDK2,DNTT,1.0496022701263428
131,ERCC1,PPM1D,1.0495238304138184
132,RPL13A,WRAP53,1.0486280918121338
133,POLM,USP1,1.048101782798767
134,CDK4,ERCC1,1.0468674898147583
135,CDK4,PARP1,1.046829104423523
136,ABCC10,EPHB1,1.0459200143814087
137,CDA,RIPK4,1.0447369813919067
138,ERCC1,USP1,1.043676495552063
139,NHP2,POLE,1.0436272621154785
140,MAGI3,TYMS,1.042976975440979
141,CAPRIN1,CYP1A2,1.0417275428771973
142,ABCG2,CUX1,1.0415496826171875
143,IGFBP3,RAD51,1.041022777557373
144,POLE,RAD23B,1.0405988693237305
145,COL3A1,SLC22A2,1.0396696329116821
146,CSNK1D,DCK,1.039096713066101
147,EXOSC9,NACA,1.0388851165771484
148,PPM1D,SSBP1,1.0385245084762573
149,CDA,PRKD2,1.0363997220993042
150,IGFBP3,POLE,1.0361143350601196
151,DCK,PLK3,1.035749912261963
152,POLE,SSBP1,1.0353466272354126
153,CKS2,SLC29A1,1.0346696376800537
154,CDK6,ERCC1,1.033818244934082
155,CDK6,RPL13A,1.031982660293579
156,CDA,MARK1,1.031787633895874
157,CIT,HCRTR1,1.0304489135742188
158,BID,USP1,1.0287286043167114
159,POLE,SESN2,1.027826189994812
160,ATM,POLD1,1.0277111530303955
161,CDK2,ERCC1,1.0275890827178955
162,RIPK4,SLC29A1,1.024240493774414
163,BCL2L1,CIT,1.0232731103897095
164,TK2,TYMS,1.021238088607788
165,UNG,USP1,1.0210471153259277
166,DCK,EPHB1,1.0209157466888428
167,CAMK1,CDA,1.0189355611801147
168,RELA,XRCC2,1.016815423965454
169,DCK,PAK1,1.0166621208190918
170,ABCG2,ANK3,1.0090014934539795
171,CMPK1,TK2,1.0078355073928833
172,ATM,CDK4,1.0077729225158691
173,USP1,WRAP53,1.0073219537734985
174,DCK,RIPK4,1.0061001777648926
175,PPM1D,RELA,1.0056354999542236
176,ABCC10,PRKD2,1.0037481784820557
177,BID,POLE,1.0033564567565918
178,ABCB1,CSNK1D,1.001242995262146
179,CAPRIN1,PTGS1,1.0010578632354736
180,ATM,GTF2H1,0.9982303380966187
181,POLE,UNG,0.9978749752044678
182,SLC29A2,TK2,0.9974652528762817
183,CETN2,MAPK12,0.9972358345985413
184,CMPK1,VRK3,0.9969286322593689
185,HMGCR,STMN1,0.9950418472290039
186,POLM,RRM1,0.994816780090332
187,BRCA1,ZBTB32,0.9945314526557922
188,HMGA1,PRKDC,0.9934696555137634
189,KRAS,MUC17,0.990136444568634
190,POLE,RAD51,0.9896327257156372
191,PIM1,SKP2,0.9840119481086731
192,CAMK1,SLC29A2,0.9834318161010742
193,ALB,ANK3,0.9812350273132324
194,HMGCR,TPSAB1,0.9806370139122009
195,ASPM,SLC29A2,0.9798479676246643
196,MT1X,PARP1,0.9794937372207642
197,BRCA1,CDK6,0.9785189032554626
198,CMPK1,SPHK1,0.9772910475730896
199,CDA,RIPK1,0.9766335487365723
200,CMPK1,SNRK,0.9747536778450012
201,CDA,RIPK2,0.9740817546844482
202,ANK3,CSF1R,0.9738572835922241
203,MAPKAPK3,SLC29A2,0.973255455493927
204,ATM,WRAP53,0.9702271223068237
205,EXOSC9,TTC4,0.9692137241363525
206,POLE,USP1,0.9690498113632202
207,FH,TTC4,0.9665502905845642
208,ABCB1,RIPK1,0.9661790132522583
209,ABCB1,MAPKAPK3,0.96596360206604
210,PRKD3,RRM1,0.9654078483581543
211,MARK1,SLC29A1,0.9625626802444458
212,ATM,DNTT,0.9608914852142334
213,DCK,MAGI3,0.9603627324104309
214,ABCB1,VRK3,0.9597499370574951
215,SPHK1,TYMS,0.958712637424469
216,RAD51,RELA,0.9584814310073853
217,ALAD,TPSAB1,0.9562696218490601
218,ATM,ERCC1,0.9557331800460815
219,ABCC10,MAGI3,0.9549664258956909
220,ATP10A,KRAS,0.9531644582748413
221,DCK,VRK3,0.9513852596282959
222,GRK6,SLC28A1,0.9491761922836304
223,BRCA1,TP53,0.9464911222457886
224,PRKDC,SKP2,0.9448847770690918
225,BID,MAPK12,0.9441076517105103
226,BRCA1,IGHMBP2,0.9440834522247314
227,H2AC8,KDR,0.9436520338058472
228,SLC29A1,TAOK3,0.9436450004577637
229,SLC29A1,UCK1,0.9434343576431274
230,CALM1,CYP2C19,0.9428282380104065
231,ATM,BID,0.9419442415237427
232,CSNK1D,SLC29A1,0.9415468573570251
233,FLRT2,NRAS,0.9404588937759399
234,ABCC10,WNK4,0.940104603767395
235,BRCA1,RAD23B,0.9392701983451843
236,DNTT,RRM1,0.9379996061325073
237,BRCA1,MDM2,0.9379903078079224
238,CMPK1,WNK4,0.9376857280731201
239,SLC28A1,STYXL1,0.9375942349433899
240,KRAS,UNC80,0.9375813603401184
241,BRCA1,POLM,0.9360223412513733
242,ABCC10,SNRK,0.935201108455658
243,LMTK2,RRM1,0.9338272213935852
244,RAD51,RRM1,0.9332941770553589
245,PMS2,RRM1,0.9307334423065186
246,CMPK1,FER,0.9296543598175049
247,CYP1A2,RPL36A,0.9280436635017395
248,MAPK12,RBX1,0.9262303709983826
249,KALRN,KRAS,0.9251328110694885
250,GTF2H1,RRM1,0.9251022338867188
251,IGHMBP2,PARP2,0.9242573380470276
252,BRCA1,SSBP1,0.9242532253265381
253,H4C1,MTOR,0.9234126806259155
254,ABCB1,SNRK,0.923068106174469
255,CIT,PRKDC,0.921504020690918
256,GTF2H1,PARP1,0.9199197292327881
257,BID,PARP1,0.9186546802520752
258,CHEK1,SLC28A1,0.9182778596878052
259,DOT1L,STMN1,0.9159565567970276
260,MTOR,RBX1,0.9154239296913147
261,SLC29A2,WNK4,0.9153925180435181
262,PARP1,POLD4,0.9140630960464478
263,CYP2D6,SPTB,0.911857008934021
264,MTOR,RAD9A,0.9111531972885132
265,ASPM,SLC29A1,0.9097551107406616
266,MAPK12,POLD1,0.9080294370651245
267,MAPKAPK3,SLC29A1,0.90715491771698
268,FER,SLC29A2,0.9069550037384033
269,MAPK12,RAD23B,0.9068881273269653
270,BRCA1,SESN2,0.9066352844238281
271,MAPK12,WRAP53,0.9032300710678101
272,CAMK1,SLC29A1,0.9010116457939148
273,ABCA3,SPTB,0.8995057344436646
274,RET,SPTB,0.8993207216262817
275,MTOR,SSBP1,0.899137556552887
276,DNTT,MTOR,0.8980870246887207
277,ERCC1,MTOR,0.8964594602584839
278,MTOR,POLD1,0.8961241841316223
279,PARP1,TNFRSF10B,0.895521879196167
280,BRCA1,UNG,0.8941658735275269
281,PTGS1,SPTB,0.8936413526535034
282,CSF1R,SPTB,0.8912060260772705
283,DCK,STYXL1,0.890920102596283
284,PARP1,POLD1,0.889996349811554
285,ANK3,PDGFRB,0.8882367610931396
286,H4C1,KDR,0.8874329924583435
287,MTOR,XRCC2,0.8864806294441223
288,CDKL5,RRM1,0.8858335018157959
289,RIPK1,SLC29A1,0.8857713937759399
290,MTOR,RAD23B,0.8856071829795837
291,ABL1,ANK3,0.8855664134025574
292,TAB2,TYMS,0.8853171467781067
293,H4C1,PARP2,0.8849450945854187
294,SLC28A1,TAB2,0.8841544985771179
295,AKT2,ALAD,0.8811590075492859
296,BRCA1,PMS2,0.8811352252960205
297,MT1X,PARP2,0.8809225559234619
298,RIPK2,SLC29A1,0.8807501792907715
299,MAPK12,POLD4,0.8804663419723511
300,CDA,GRK6,0.8799975514411926
301,MTOR,RELA,0.8791981935501099
302,CSNK1E,SLC28A1,0.8767818808555603
303,ABCB1,STYXL1,0.8750254511833191
304,LEO1,TTC4,0.8731092214584351
305,BRCA1,ERCC1,0.8727301359176636
306,MAPK12,POLM,0.8703354597091675
307,CSNK1D,RRM1,0.8694360256195068
308,DIDO1,KRAS,0.8691577911376953
309,KRAS,SVEP1,0.8688442707061768
310,GRK6,SLC29A2,0.8679025769233704
311,ATR,TYMS,0.8653586506843567
312,PARP2,POLR2A,0.8643168210983276
313,CSNK1E,TYMS,0.8639227151870728
314,PARP2,RAD23B,0.8638947010040283
315,PARP1,WRAP53,0.8635591864585876
316,IGF1,KDR,0.8634864687919617
317,MAP4K5,SLC29A2,0.8630895018577576
318,SLC29A2,STYXL1,0.8628131151199341
319,KRAS,TNIK,0.8608535528182983
320,NHP2,PARP2,0.8606155514717102
321,DGKA,RRM1,0.860371470451355
322,KRAS,RASGRF2,0.8599264621734619
323,MTOR,PMS2,0.8588739633560181
324,KRAS,NFATC2,0.8586739301681519
325,PARP2,SESN2,0.8580549955368042
326,SLC29A1,SNRK,0.8574002385139465
327,IGFBP3,PARP2,0.8554149866104126
328,LRRC37A3,SLC22A1,0.8545359969139099
329,PARP2,TNFRSF10B,0.8540062308311462
330,PARP2,WRAP53,0.8529809713363647
331,CDK6,PARP2,0.851026177406311
332,EPRS1,HCRTR1,0.8484162092208862
