,0,1,2
0,IGF1,ZBTB32,1.448183536529541
1,MT1X,POLD4,1.425616979598999
2,CDA,PANK2,1.4165565967559814
3,LMTK2,SLC29A2,1.3990774154663086
4,IGFBP3,SESN2,1.3708102703094482
5,BID,MT1X,1.3619470596313477
6,MT1X,WRAP53,1.3571701049804688
7,DNTT,ZBTB32,1.356787085533142
8,DAPK2,DCK,1.3511464595794678
9,POLD4,POLM,1.3359606266021729
10,POLD4,SESN2,1.3205080032348633
11,MT1X,TNFRSF10B,1.3116071224212646
12,SLC28A1,SNRK,1.3115930557250977
13,CETN2,IGF1,1.307679533958435
14,KHK,SLC29A2,1.3025147914886475
15,CYP3A7,LRRC37A3,1.2807039022445679
16,SESN2,WRAP53,1.2791242599487305
17,POLM,UNG,1.2777888774871826
18,AKT2,ALAD,1.2773172855377197
19,MARK1,SLC29A1,1.2717456817626953
20,H2AC8,H4C1,1.2653415203094482
21,SLC28A1,STK17A,1.2599334716796875
22,H4C1,ZBTB32,1.259537935256958
23,CDA,PDPK1,1.2496192455291748
24,ABCC10,ITPKC,1.2359827756881714
25,DCK,TNNI3K,1.2313368320465088
26,DCK,KHK,1.2310514450073242
27,IGF1,TNFRSF10B,1.225514531135559
28,IGHMBP2,UNG,1.2235080003738403
29,RAD9A,ZBTB32,1.2233467102050781
30,IGF1,UNG,1.2224438190460205
31,BID,CETN2,1.2166943550109863
32,POLD4,WRAP53,1.2131211757659912
33,CETN2,RBX1,1.212551474571228
34,IGF1,WRAP53,1.2118738889694214
35,RIPK4,SLC28A1,1.2100341320037842
36,NHP2,POLM,1.2017165422439575
37,IGFBP3,POLR2A,1.2000794410705566
38,LRRC37A3,ORM1,1.1998159885406494
39,CETN2,DNTT,1.1978728771209717
40,RBX1,UNG,1.1963162422180176
41,ABCC10,STK17A,1.1956439018249512
42,H4C1,MT1X,1.194473385810852
43,AK1,TYMS,1.1940971612930298
44,BID,TNFRSF10B,1.192789077758789
45,HCRTR1,STMN1,1.1921603679656982
46,CIT,PIM1,1.188981294631958
47,IGHMBP2,POLD1,1.1851089000701904
48,DCK,DGKA,1.1846572160720825
49,IGFBP3,UNG,1.184490442276001
50,CDA,MAPKAPK3,1.1842327117919922
51,RBX1,TNFRSF10B,1.183724284172058
52,PAK1,SLC28A1,1.1830774545669556
53,CDKL5,TYMS,1.1826529502868652
54,HCRTR1,HMGCR,1.180732250213623
55,BID,POLR2A,1.176904320716858
56,IGHMBP2,NHP2,1.173465371131897
57,IGHMBP2,XRCC2,1.1712915897369385
58,CETN2,WRAP53,1.1708195209503174
59,BID,SSBP1,1.159538984298706
60,BSG,TPSAB1,1.159390926361084
61,HMGA1,PRKDC,1.156516194343567
62,BRCA1,H2AC8,1.1562600135803223
63,CMPK1,PI4K2A,1.1500511169433594
64,IGFBP3,NHP2,1.1499689817428589
65,STK17A,TYMS,1.149831771850586
66,CYP2C9,LRRC37A3,1.1456835269927979
67,POLD4,RAD9A,1.1449273824691772
68,ABCC10,MAPKAPK3,1.1425623893737793
69,IGF1,MAPK12,1.1311720609664917
70,IGHMBP2,RELA,1.1296355724334717
71,CKS2,SLC29A2,1.128172516822815
72,STMN1,TPSAB1,1.1265977621078491
73,ALB,CAPRIN1,1.1242234706878662
74,CIT,TPSAB1,1.124062180519104
75,ATM,ZBTB32,1.1234493255615234
76,ERCC1,IGFBP3,1.1220955848693848
77,MDM2,RAD23B,1.1210718154907227
78,MAPK12,SESN2,1.1207090616226196
79,AURKAIP1,SLC28A1,1.1206947565078735
80,CDA,SPHK1,1.1203105449676514
81,POLD1,TNFRSF10B,1.1170880794525146
82,MDM2,POLD4,1.1169981956481934
83,GTF2H1,IGF1,1.116338849067688
84,STK33,TYMS,1.1157152652740479
85,FLT1,SLC29A1,1.115689992904663
86,EPHB1,TYMS,1.1144521236419678
87,CDK2,RAD9A,1.113786220550537
88,MT1X,RAD51,1.1116912364959717
89,PRKDC,STMN1,1.1113624572753906
90,RPS6KL1,TYMS,1.110775351524353
91,CDK2,RRM1,1.1105307340621948
92,CSNK1E,TYMS,1.1103358268737793
93,POLD1,XRCC2,1.1102619171142578
94,H4C1,IGHMBP2,1.1094260215759277
95,CAMK1D,CMPK1,1.1091660261154175
96,CDA,TAB2,1.1066526174545288
97,BID,PPM1D,1.1001056432724
98,CDA,UCK1,1.0994184017181396
99,H4C1,XRCC2,1.0990254878997803
100,H2AC8,POLE,1.097572922706604
